
# The Grey NATO – 250 – Film Club Vol. 10
Published on Thu, 24 Aug 2023 06:00:00 -0400



## Synopsis
The podcast discusses the 250th episode of The Graynado, a show about travel, diving, driving gear, and watches. For this special Film Club Volume 10 episode, Jason and his co-host share their top 5 movie picks from different genres and time periods, including Ronin (1998), The Talented Mr. Ripley (1999), Snatch (2000), To Catch a Thief (1955), The Silence of the Lambs (1991), The Departed (2006), Charade (1963), Play Misty for Me (1971), The Killing Fields (1984), and Annihilation (2018). They provide detailed synopses, discuss the films' merits, and share personal connections to some of the movies.

## Links
- [episode page](https://thegreynato.substack.com/p/filmclub10)
- [episode MP3](https://www.buzzsprout.com/2049759/13457876-the-grey-nato-250-film-club-vol-10.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|Co-host|I like it. Yeah. Yeah. This week I've actually just kind of pulled the Scorpha MS22 from the watch box. I dug out all my watches having now fully integrated into the new home. So I've been working on a couple of stories here that needed some of the watches from my own sort of set.  and dug up the Scurfa and wore that for the last couple of days. The MS23 has been announced, so it's like a blue version with a higher-end, high-accuracy quartz movement. Pretty exciting, all things concerned. I can definitely see that that'll be a very popular sort of model, and I love the idea of having a blue one, especially because the Pelagos is black, and in some ways, they're fairly similar watches, at least in terms of what they attempt to do. And yeah, had the Scurfa on, just really enjoyed it. Great sort of solid titanium dive watch. I mean, we've, we've talked a ton about them. I love the MS specifically for the fully graduated bezel, which I think is a huge win for bezel design in general and lets the watch stand out a little bit. But, uh, the 22 is a black, black, and I've got it on a NATO and it's just a really nice summer watch that I can do anything with. You know, we were at the cottage for 10 hours, we went antiquing and all that kind of stuff. So We did a handful of stuff this weekend and it always just kind of fits in and it disappears on wrist despite being, you know, it's not like a small watch necessarily. It's kind of, kind of on the thicker side and it wears nicely and obviously being quartz keeps great time. Yeah. |
|Jason Heaton|No stress. Yeah. Yeah. Good choice. All right. Yeah. Well let's, let's jump into, to Film Club Volume 10. You know, before we get started, I thought it was kind of poignant or significant, I guess, or timely or however you want to put it.  that the news came through yesterday that William Friedkin died at age, I think, 87. And he's featured in one or two film club choices we've done. We did certainly Sorcerer. Definitely Sorcerer. And did we do French Connection yet? If not, it will be in the future, I'm sure. |
|Co-host|I don't think so, but I think it could make it. Hey, I mean, if we do enough of these, I'm sure The Exorcist will eventually land as well. That's true, yeah. Friedkin was a talent and had a great life and made certainly a lot of fantastic films. And if you haven't seen Sorcerer, which was a pass pick, Yeah. Now's your time to do it. And you've got a great reason to do so. Speaking of past picks, uh, if you want to be able to see all of the picks featured in all the past film clubs, we do have a letterbox collection, which was set up by Kyle Martin. Uh, big thanks to Kyle for setting that up and updating it. I checked it recently and it was updated for volume nine. So I figured Kyle probably managed volume 10. And again, thanks for that. But, uh, you can hit the link in the show notes to see all the films that we've mentioned over the past nine volumes.  but why don't Jason, why don't you kick it off with your first pick for volume 10? |
|Jason Heaton|Sure thing. Gosh, you know, I'm going to kick this off with a film. I think you and I were both surprised hadn't been mentioned. Um, and that is Ronan. I mean, it feels like kind of a quintessential sort of viewing, uh, piece for, for TGN and for our audience. I feel like we've talked about it a lot or it comes up a lot. I mean, people, it's almost this, um, uh, I don't know, like, like, like a rite of passage for, for a lot of people to, to see Ronan. I mean, there's everything from, uh, you know, a great set of, of actors. You've got, uh, De Niro, of course, you've got, um, Sean Bean, uh, who, who plays, uh, such a great role in that movie. Um, and I, and, uh, John Reno play plays a nice role in that film as well. Uh, the setting is great. The car chases, there's that Audi S eight that, that plays very significantly in, in one of those car chase scenes. And, I don't know if there's just a lot going on in this film. It's a, it's from the year 1998. I didn't realize it was that long ago, but, um, I, I don't think it's one of those movies that probably got a lot of critical acclaim, uh, at the time it was out. And, and it's certainly like an action adventure sort of, you know, it's hard to kind of put it in a box because, you know, try to explain kind of to anybody what the plot involves or kind of what, what I think the question that always arises is, what's in this case that everybody's trying to, to, to get, um, during this movie, that's kind of the MacGuffin of the film. Um, right. There's this mysterious sort of a suitcase or case that has something in it and everybody's kind of seeking this. And that leads to all of these, um, these crazy chase scenes and sort of tense moments. Yeah. But I, I think it's just, it's a, it's a, a nicely shot movie. It's a, it's just fun to watch and it's, it's got some great, sort of lines that people like to remember. For instance, what color is the boathouse at Hereford? Sure. Um, it's kind of a classic sort of meme from that, that film. |
|Co-host|But, uh, yeah, this is, this is the kind of movie that, that in my mind is, is like 1998, this is like peak nineties for sort of an action thriller with a European element. You know, this movie couldn't, wouldn't almost make sense after like Bourne existed.  True. Which I think took a lot of concepts that are in these films, the European connection, the car chasing, all that kind of stuff. I want to make sure that we stick to some format here where we do do the sort of log line for it. So a freelancing former US intelligent agent tries to track down a mysterious package that was wanted by the Irish and the Russians. That's so vague. Yeah. It's almost not helpful. But the movie is about intrigue and trust and bad guys do working on their own against a number of sort of governmental agencies, even bad, arguably even worse people. It has that, it has that sort of thing that I would say they did even better in oceans 11, where you have sort of a heist, a crew sort of thing, and everybody has their own personality. And it's a, it's kind of, it's a lot about how these people are interfacing and whether or not they even trust each other, or if they're just kind of hired guns, AKA Ronan's that sort of thing.  It's an interesting and really, really fun movie. It's not a perfect film by any stretch, but I do think this is one that absolutely should be in. I'm glad we made it in the top 10 or in the original 10 film clubs. Yeah. John Frankenheimer, an incredible cast. I think this is a really good one and it has an entirely different edge than you would get from like Clear and Present Danger. Yeah. Just like I don't think Robert De Niro would have made a good Jack Ryan.  Yeah. I also don't think that like Harrison Ford would have fit in this. There's something you need, the kind of menace that De Niro brings to this, this like quiet brooding. He also doesn't commonly do like movies with a romantic element. Right. Right. And, and you can see that they kind of flirt with that concept here, but don't necessarily land it entirely. They, the movie sticks to kind of its overall tone for the car chases alone. This is, this should be on your list. |
|Jason Heaton|It's a great one.  Yeah. And I, I didn't realize that David Mamet was one of the writers. I mean, he's kind of a well-known playwright and, and then you've got Stellan Skarsgård in the cast and Jonathan Price. And I mean, it's, it's yeah, it's, it's excellent. And I think you're, you're dead on when you talk about De Niro's role in this movie. I think, I think what's sort of delicious about his role in this movie is, you know, he's, he's a bit of an antihero. He's, you're not quite sure who the good guy is in this movie, but, um, his way of, of talking to people and getting things done is you kind of relish kind of his cleverness. And I think he does it really well in this movie. So yeah, it had to be on the list, I think. And I'm glad it finally made it in. |
|Co-host|Yeah, that's a good one. Great pick. I highly recommend everybody check out Ronan. Great pick. I'm going to follow up with one with a movie that came out just a year later. And I'm not sure if that makes any sense, like in the lineage of of, you know, 1998 to 1999. And that's when I recently rewatched and it's the talented Mr. Ripley from again, from 1999. Um, if you want to talk about another movie with like a really incredible cast, goodness sakes. Right. So this is, um, Anthony Minghella's film and the lead in this is Matt Damon. He plays Tom Ripley, which is a character from a series of books, basically a sort of, I don't know, would you go as far as sociopathic? I guess when you get to the end of this film, kind of. Yeah. Yeah. Yeah.  just a con artist, a liar, a grifter, an impersonator. So the film features Tom Ripley being sent by Jude Law's father, Dickie Greenleaf's father, to find Dickie in Italy. And so you have Jude Law is in Italy with Gwyneth Paltrow and Cate Blanchett and Philip Seymour Hoffman. And they're all just kind of being rich kids in the 50s.  And, you know, living it up, they've got the sailboat, they've got the cool house, they were going and checking out jazz. And it's this life that clearly Tom Ripley wants to be a part of. And it's about him sort of inserting himself into their lives with a series of ever more complicated lies and, you know, forgeries and things like that. And then, of course, there's a turn at some point in the film where things go worse. Yeah. It goes from being kind of weird to dangerous. And I don't know of any other movie like this, which is what I really like about it.  It's really beautiful. The people in it are beautiful. The places where they are are beautiful. The writing is incredible. The way that it's told is creepy, but somehow feels like human, like a real story. And that probably links back to the quality of the books and the translation therein. I think Matt Damon is incredible in this. I don't know of a bad Jude Law performance, but this definitely isn't it.  Gwyneth Paltrow is great. I mean, it's Philip Seymour Hoffman. And I can't quote the line because it's incredibly vulgar. When he shows up at the first point in the film, when when Freddie Miles shows up in this beautiful little alpha. But it is one of the most like kind of shocking and excellent first lines for a character in a film. I would have to bleep almost the entire thing if if I were to were to go for it. But I love this movie. I think it's a great one. I just just watched it recently with my wife and she enjoyed enjoyed it as well. It's one of those ones where the first two thirds of it have a different pace than the final, like where a lot of the, you know, let's say check start to bounce for the, the Tom Ripley vibe of it all. But it's a, it's a good one for sure. |
|Jason Heaton|Yeah. Yeah. This is a good pick and I haven't watched this in gosh, over a decade. So I even inspired me to check it out again. I mean, I think it's a, it's a great cast and you know, it's one of these movies, Mengele was kind of at the height of his powers then. I mean, he had, he'd done the English patient and some others and, and, and then with this cast and that setting and this movie often comes up as sort of a, um, for those that are into kind of style, I think this movie kind of stands out as well. I mean, the way it was filmed and you know, the cars and the setting and everything else, but also, you know, everything from the clothing and everything is very classic. Definitely. Um, yeah, yeah. It's a, that's a, that's a really good one. Good pick. |
|Co-host| Yeah. A super fun one. One I really like quite a bit. It's definitely a creepy, weird kind of troublesome movie, but there's so much about it. That's like feels lived in, I guess. Yeah. And it has the quality of a, of a film that, that almost plays out like a stage play, which I also enjoy quite a bit. |
|Jason Heaton|All right. Well, for my second pick, I'm going to, I'm going to creep forward one more year. I don't know how we got on this 1998, 99, and I'm going to go to 2000 with a snatch.  Guy Ritchie film. You know, I, I think this is classic Guy Ritchie. It's probably like, you know, kind of emblematic of, of his style of movies. And I think it, it, it's kind of a, it's an interesting follow on to, to Ronan because you know, again, you've got this sort of ensemble cast of, of a number of very flawed people, heroes, if you want to call them that antiheroes, small time crooks, big time crooks, uh, kind of trying to pull off this heist and, and actually, you know, steal from other crooks. Um, you've got Jason Statham, Brad Pitt. I mean, it's just, it's a great cast. And, and you know, what always stands out for the, about this movie for me also is, um, it has a great soundtrack. And I think, you know, we, we often don't talk about soundtracks, but this was, this was a soundtrack that I remember I went out and bought, um, after seeing the movie, I think I still have like the CD, even though I don't even own a CD player anymore. It was just a stylish film. And I think it sort of played on this, uh, you know, there was this kind of era, you know, right around this kind of the early two thousands where, um, you know, Britain was sort of enjoying this, uh, sort of upsurge in, in interest in kind of British culture and British films and things like that. And I, I feel like this movie was very, it felt very English, you know, it felt like, uh, you know, you get all the different accents and kind of the street scenes and, and all of that. And, uh, yeah, it was a, it's a good movie. It's got, it's certainly got its, its level of violence to it.  Um, if that offends you, but, um, you know, not, not egregious, I would say. Um, and then it's kind of interwoven with some, some pretty dark humor. Um, so yeah, I, I really quite liked this movie. Um, you know, I've watched it several times over the years and I'm probably due for another, another viewing. |
|Co-host|I remember just being obsessed with lock, stock and two smoking barrels, which came out just two years before this kind of kicked off guy Richie's, you know, um, cockney kind of aggressive, Britishy sort of crime thrillers dealt with triple, quadruple, endless number of double crosses throughout the film. And I remember seeing Snatch and at the time reading a lot about the process of Snatch being made and what it put Brad Pitt through in terms of his character arc and the rest of this. And I think I only ever saw the movie once. I don't think I saw it multiple times. So I should probably go back and, uh, back in and watch it again. I remember a few elements from the film, but definitely not the, not the total and not, not in the same, um, kind of depth of detail that I would for like lock, stock and two smoking barrels or, or even some of the stuff that he did a little later. |
|Jason Heaton|Yeah. And I, I, I, I had a hard time deciding which one to kind of include in today's list between lock, stock and two smoking barrels in this one. Um, But yeah, I mean, I, I think you see one, you know, you, you see both kind of back to back or if you're on kind of a Guy Ritchie kick, you know, this was kind of early days of his kind of rise to prominence. And, you know, certainly he's made a lot of movies since and including some recent ones. Um, but you know, and I think he's kind of matured in his filmmaking or he's changed slightly, but I think, you know, this, this really kind of shows the core kind of the genesis of a lot of his techniques and writing things. |
|Co-host|So yeah, absolutely.  Yeah, good pick. Made me think of another movie, which I won't give away because I think we'll need to put it in volume 11. But I had to quickly, while you were talking, go and check the archive to make sure that we hadn't already included this movie I'm thinking of. So another great British sort of crime thriller that I know we've talked about before on the show, but we'll hold it off for volume 11. |
|Jason Heaton|Yeah. All right. You got something from 2001 or are we going to switch around a bit? |
|Co-host|I don't. I'm actually going, well, what do we got? I could go to 2006.  But it would still break it up. So I'm just going to go with the next one on my list, which actually goes backwards to 1991. I think if I told people to watch 10 movies that were essentially like the perfection of their genre, there's no way that I would hit 11 without hitting Sounds of the Lambs. Oh, yeah. Oh, yeah. Another one that I was kind of blown away wasn't already on there.  Yeah, true. Like in the past nine volumes. But this is like essentially a perfect crime thriller and was simply decades, at least a decade ahead of its time in putting a female in the lead in in a scenario where the tone could have gone in any direction. It could have been more. This could have been a lot more. If you think about it, this could have been a lot more like fugitive in many ways, right? Like more about the procedure of the FBI, more about the team that they were working with, more about the... But instead, it's so much more about serial killers and about the institution in which they're controlled and maintained. Obviously, this has a world-famous, that's not even close to a big enough statement, performance from Anthony Hopkins as Hannibal Lecter.  It's based on the books by Thomas Harris, which I'm absolutely a fan of. This was directed by Jonathan Demme. I think it's just an absolutely incredible film. Start to finish, beautifully paced. Jodie Foster does an amazing job. Huge fan of Scott Glenn as Jack Crawford, who's kind of her boss at the FBI. Anytime I get a Scott Glenn, I'm pretty happy. And I can't say enough good things about this. It's a creepy, troublesome, tough film that has essentially, like, established what the genre of a serial killer film is. Like, it's this and Seven basically define, like, the modern scope of something kind of in this vibe. And I think this movie is so much more delicate and deals with things in a much more modern way than Seven. This movie feels like it comes from the real world. Seven feels like something pulled from a comic book. Right. It's kind of insular. Right. You can't tell what city it's in. It doesn't necessarily link with a certain government outfit, like obviously sure police, but that's like very generalized. It feels almost like, like it, like it purposely came from fiction. Whereas there's definitely parts of the story that feel super real. |
|Jason Heaton|Yeah. Yeah. And I think the interplay between Jodie Foster and Anthony Hopkins, um, you know, Clarice and Hannibal Lecter, I mean, it's just, that's what stands out for this movie. It's not, um, it's not about, um, chase scenes or, or kind of, uh, you know, it doesn't lean too hard on the kind of element of surprise where it's trying to get people to, you know, jump out of their seat. I mean, not until the end. Yeah, exactly. But it's what stands out for me looking back, having not seen this movie for many years is, is, is that interaction between the two of them and how creepy that was and the settings and you know, his cell where they keep him and the, the masks that they use and all of this, it's yeah, it's, it's, it's a, I mean, I hesitate to use the word beautiful because it's such a dark, creepy movie, but it's beautifully done. |
|Co-host|Yeah. Yeah. |
|Unknown|Yeah. |
|Co-host|Yeah. I'm just, I'm just an, a huge, huge fan of this film. I think it, uh, I can't, it's hard to believe that it was in 91 and you watch it and ensure like the night vision, the famous night vision elements that those are, those feel a little bit dated. The cops have giant radios instead of phones. Like, you know, there's, there's some things that cars are obviously from the late eighties and that kind of thing. But so much of this, so much of the tone, the execution feels like, very, very modern and, and highly done. |
|Unknown|Yeah. |
|Co-host|I'm a big fan. |
|Jason Heaton|This is a great movie. Yeah. Yeah. All right. Well, I'm going to go way back in time for my next pick, um, to kind of an all time favorite of mine and one that really made an impression on me when I was, gosh, I think a teenager when I first saw this and that is Alfred Hitchcock's movie from 1955 to catch a thief. It's so good. It's such a beautifully made movie and, and I absolutely love, Uh, Cary Grant and I love Grace Kelly. I mean, I think I fell in love with Grace Kelly when I was in high school because of this movie. It was like, how could someone be that beautiful? Like, um, sort of fits in perfectly well with kind of the setting. It's, you know, South of France. Um, Cary Grant is just the most debonair, like stylish, the way he delivers lines, the way he walks, the way he looks. I mean, he's just, he's just incredible. And, and you know, what stands out, I mean, this movie, certainly the plot, I love the idea that he's, Um, a cat burglar, you know, this, this notion of climbing around on roofs in the Mediterranean, um, you know, looking for diamonds while wearing a, you know, cravat sort of knotted around your neck. Uh, I mean, it's just, there's just, it's got so much going for it. Um, you know, it was a great driving scene. I think, uh, grace Kelly, if I'm not mistaken, drives like an old alpha when they're out sort of spinning on the, on the windy roads along the Mediterranean and, and kind of the interplay between the two characters is, Their dialogue is beautifully done. There's great chemistry between Grant and Kelly. Um, to me, this is like the height of kind of that mid fifties, you know, there were a few films, you know, in the genre. And I think you've got kind of a, a similar vibe movie, um, later in your list, but, um, I don't know, it just, uh, just, uh, really made an impression on me when I was young and I haven't seen this in a while, but, um, it's, it belongs on the list for sure. |
|Co-host|Oh, absolutely. This is one of my favorite Hitchcocks.  I think it's just simply an incredible film. They do such a great job of telling a story like in a very, it has this linear pace to it, which I don't think you always get with a movie from the fifties. |
|Unknown|Yeah. |
|Co-host|Yeah. Um, it just kind of goes nicely. Like I can't, I can't say, I can't disagree with anything you said about it. It's so good. It's such a easily watchable, fun, entertaining, cool story from a neat part of the world with some really great people playing the various roles. So Yeah. I'm a big fan. And although I've now forgotten for a couple of movies, here's the, the, the description from IMDb, a retired jewel thief sets out to prove his innocence after being suspected of returning to his former occupation. It's great. It's a great movie. Yeah. Solid, solid pick. And I'll follow it up with, uh, with my older one as well. Uh, so we're going to go back to 1963 to a movie I watched a lot as I grew up and that is called charade.  It is a Stanley Donnan film. And the description is romance and suspense ensue in Paris as a woman. Wow. Pop-up ad. Thank you so much. IMDb romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune. Her murdered husband has stolen. Whom can she trust? So it's Audrey Hepburn is essentially the, the center of this film. The only person whose motives you understand is Audrey Hepburn. |
|Unknown|Yeah. |
|Co-host| She's basically being pursued as the logline says. She's basically being pursued, entertained, grifted by a series of people. Basically, everyone she meets, she can't trust because her husband had something with him when he died and it's not there. They think she has it. She doesn't know who actually has it. It's this really, really, really like kind of tight, entertaining and at times a little bit goofy.  sort of thriller, again, with a great European backdrop. Most of it's in Paris. I remember the first press trip I ever went on was with Longines to Roland Garros. And while we were in Paris, there was only a few things that I knew I wanted to do. And one of them was to take one of those boat tours along the river because they did it in a charade. And sure enough, the one night we had dinner on one of those same boats. Oh, nice.  And I was like, I was the only nerd there who was like, guys, this is like insurance. No one cared. Yeah. Yeah. It's fun and light at times. It's scary and creepy at other times. You know, it has that man who knew too much enemy of the state, you know, that vibe of like, or even I have we ever done where, um, wait, have we ever done wait until dark? We haven't no past. So that's another one of my favorites. Also Audrey Hepburn. It's that, the main character, the person that you understand the most doesn't have all the information they need. And they're just, um, essentially like playing jazz. They're just keeping up with bad operators, good operators. You don't know if you can trust the cops in this or Cary Grant or the guys that are like more clearly bad people. It's very strongly telegraphed. This is a great movie. I highly recommend it. |
|Jason Heaton|Yeah. I think, um, you know, we, we had a couple of, Kind of dark films here, um, initially. And I think now we've, we've moved into, you know, with to catch a thief and charade. I think if you, if you just want to kind of, um, enjoy kind of good old fashioned kind of mid-century filmmaking, I mean, these two, you can't go wrong. I mean, such great acting. I mean, again, Cary Grant, fantastic. Uh, Audrey Hepburn's right up there with Grace Kelly. I mean, one of the iconic names from, from that era. |
|Co-host|And, uh, yeah, just Walter Matthau, James Coburn. Yeah.  George Kennedy, it's, it's a really good cast. The movie's really fun. It doesn't take, it's not as serious as Roan and certainly not as serious as, as a science of the lambs or something like that. Uh, it, it has this sort of bounce to it. That's maybe a little bit more like a, um, an ocean's 11 in terms of its overall kind of vibe. You can feel happy at happy times. You can feel tense during tense experiences. It's, it's a winner. I really like it. It's, it was one of my favorites growing up right alongside wait until dark, which I'm sure can be in a future.  film club. Uh, yeah, just really nice. Always. And, and, you know, grew up in a small Canadian town, just dreaming of Europe. So movies like this really spoke to me. |
|Unknown|Yeah. |
|Co-host|Yeah. |
|Jason Heaton|Good pick. All right. Well, I am moving forward, sliding the timeline forward, uh, several years, uh, from your pick, uh, to 1971. Uh, this was actually the first film that Clint Eastwood directed. Um, and it's called play Misty for me. Um, you know, Eastwood, it almost kind of goes against character for him in several ways that he, um, you know, he had this, you know, prior to this, he had done this, this spaghetti Westerns, you know, um, playing the man with no name, uh, you know, the good, the bad and the ugly, et cetera. Um, this movie in this movie, he plays a, a late night jazz radio, uh, DJ and it's in, it's in California. I think, you know, probably the, the town that he ended up being mayor of Carmel by the sea, I believe, or somewhere around there.  Um, and he drives a great old MG and like an MGA and, uh, and he plays jazz in the overnight radio and he has, you know, he has a great voice for it anyway. And I remember seeing this movie and it made me want to be a late night jazz DJ. And I think in some weird way it connected me with when people talk about podcasting and, you know, doing TGN and some people say, Oh, you know, your voice is great. You put me to sleep. I always think to myself, well, you know, I, I'm going to take that the right way. I think like I always wanted to be like a late night jazz DJ.  Um, and, and I'm getting my, you know, a small taste of it doing, doing TGN, um, talking about watches and movies and things, but the movie itself, the plot of it, now that I've kind of gone on about his role in it, um, it's, it's kind of a suspenseful, it's not really a horror film, but there's a woman who calls in, uh, almost every night when he's on the radio and requests that he play a song called Misty and Errol Garner song.  Um, and she says, play Misty for me. And he develops a relationship with this woman and they start dating. Um, and it goes wrong. She turns out to be, um, more than he can handle something that, that he didn't bargain for in this relationship. And it, it kind of turns dark and, uh, it's, uh, it's a suspenseful film. It's a stylish, stylishly shots, got a great jazz soundtrack. And like I said, it, it, you know, a lot about movies and, you know, even some of the ones that we talked about already.  the impression that they make on you is different depending on when in life you watch it. And sometimes the significance of a movie has to do with when, when you see it for the first time or, you know, early days of watching it over and over. And I think for this movie, again, this was kind of formative years for me. You know, I was probably late teens, maybe early twenties when I was just getting started and kind of trying to figure out what I wanted to do with my life. And it was just sort of, um, I don't know, it was, it was a movie that kind of set me off on a course of, different things that I've been interested in and done. And, uh, yeah, I mean, given that Eastwood is, I believe in his early nineties and, and I think he just finished directing his latest film, which is insane. Uh, it's kind of interesting to go back to play Misty for me from 1971 and the first movie that he directed, uh, and check it out. Have you ever seen this movie? |
