
# The Grey NATO – 187 – Watches & Wonders 2022
Published on Thu, 07 Apr 2022 06:42:54 -0400



## Synopsis
The podcast discusses the recent Watches and Wonders event in Geneva, where new watch releases from various brands were showcased. Jason, who attended the event, shares his hands-on experiences and impressions of some of the standout pieces, including the Tudor Black Bay Pro, Doxa's white pearl carbon watches with lume dials, and the Oris Pro Pilot X. James, who was in Sri Lanka during the event, offers his thoughts on the releases from afar. They also touch on other notable unveilings from brands like Grand Seiko, IWC, Rolex, and Patek Philippe, among others.

## Links
- [episode page](https://thegreynato.substack.com/p/ww2022)
- [episode MP3](https://www.buzzsprout.com/2049759/11310931-the-grey-nato-187-watches-wonders-2022.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|Jason Heaton|So, yeah. Well, I'm glad you were able to get, um, quick treatment. That's the whole goal with rabies, of course.  It's not something you can ignore. And it sounds like you're in an area where they know rabies really well, which is also a big plus. |
|James Stacey|Yeah, for better for worse. I mean, it's a shame. I was sitting there, you know, while they were observing me and there's just the stream of kids coming through getting their rabies shots. I'm like, boy, this is pretty sad that it's kind of a bit of a bit of a problem here. You know, I mean, people just getting bitten. There's a lot of stray dogs around. So, but, uh, you know, kind of switching gears here. I mean, it's been, it's been, so dissonant and strange to like switch from all the political news in the country here and the protests. And then my experience getting bitten by a dog to like switch over and look at the watches and wonders coverage from here. It's been, in some ways it's almost been this like soothing mental break to observe all the kind of the brands and the people that I know, like writing these articles and the brand reps that I'm familiar with and all these great watches. And then, you know, kind of switch gears to what's going on here. It's, uh, it's been both kind of a jarring, uh, contrast, but also a little bit of a soothing escape from, from what's been happening here. So, uh, I'm kind of eager to get your take from the ground in Geneva on some of what you saw there. But, uh, but maybe before we do that, I mean, we've, we've got to talk about, uh, a little bit about our own watches and kind of what's been going on in the past couple of weeks, cause we haven't recorded in a while.  The Omega Moon Swatch, which kind of came and went between the last time we recorded and now. I mean, you were gonna... I remember we talked when that was released and you were gonna go to the Toronto swatch dealer and pick out a couple and then that just didn't happen. |
|Jason Heaton|You can tell how much I do watch retail, even as someone who works professionally in the industry, I do know watch retail. Yeah. So when the story came out and I saw, oh, well, they're gonna offer them at the Toronto Boutique, I just thought you could just walk in and get one.  And then it took about 24 hours for it to sink in that, like, nobody's walking in anywhere and getting anything. And then when Hodinkee was like, oh, there's a store in Toronto, James, like, go down and take some pictures of the line. And I was just going to kind of show my kids what it was to go, you know, have a fun time at a watch store. You know, we'd pick out one or two and get them. Of course, that's not going to happen. Like, it was just so naive of me to think that they would have thousands. You know, you think of them like a swatch. You're like, well, it's gotta be like when Hodinkee does a swatch launch that we have thousands on hand, right? Sure. Everyone can get one who wants one. Yeah. And, uh, that, that wasn't the case, uh, when it came to the, the moon swatch, it was, it was madness when I went down to the line, uh, that, that Saturday morning, I mean, it was, people were out in the cold in the rain waiting for a watch. And I think they said like, once I got inside and, and stood right next to the security guard that was fielding all the questions for the store, uh, it, they said, you know, we got less than a hundred. We're basically taking like an email, list and the general manager will reach out to you and like, well, that's never going to happen. I wouldn't give them an email. But, um, uh, yeah, so, I mean, there's a lot, there's a lot to unpack here. And I think maybe, maybe we'll do a whole other story someday when maybe we get our own or, or, or something someday down the line. But like, obviously there, even swatch was very clear, almost to the point where it seemed like they were worried about it, that like, these are not limited. This is just the initial launch. Yeah. I got that sense too. You know, we'll, you know, it's my understanding they, probably won't sell them online in the U S I don't know if that means they will here in Canada. Um, but it will be something that like over time you will be able to go to a swatch store and get, and like in Geneva, the mood was, was very specific. The store in the main store in Geneva was getting a thousand units a day, but you still had to queue up for it. Oh yeah. So every night when you, when somebody would hear that fact, they'd go like, Oh, I could just, I could just go there on my way back to my hotel and get the one I want. You go, no, uh, There's a line, even in Geneva, everybody wants one of these watches. And then there's the whole aspect of the flipping culture that's popped up around this and the idea. And then there's the whole conversation of like, why would Omega do this? Take like arguably their biggest, most prestigious IP and attach it to a $250 plastic watch. And I know it's bioceramic, but like also it's mostly plastic. It's a nice word for a specific type of plastic. And And I have nothing against that. I think the price is really fair. I think these are deeply cool watches. I'm not a speedy guy, so I get to come at it from a much less dire angle. But if I was a hardcore Speedmaster guy, I'm not sure how I would think about it. But I saw Robert Jean from Fratello, who's like the speedy guy. And he was thrilled. He had a Mars on his wrist. So I don't know that I'm buying all the dissent in the space about this, about whether maybe it's bad for Omega. I don't know. Maybe they traded something.  uh, that took them a long time to get for some incredible press for the next little while. But like, keep in mind, like they got millions and millions, millions and millions and millions of dollars of press off this deal that you could never buy. Yeah. So the watch is almost secondary. I'm sure they make some money on every watch. Why not? But I can see it from a business standpoint, to some extent, I don't fully understand the branding impact of taking something as huge as Omega's name and the moonwatch, the look of a Speedmaster and then turning it into something different, but I have to applaud them for making something accessible, for not making it limited. I understand that I'm sure there's people in our audience that are really pissed they couldn't get one day one, or maybe they did go wait in line and couldn't get it. And all that comes with any of these hype sort of things. But the only difference is, is that they've been very clear that these aren't limited, there'll be more. You just have to be patient. And I can be patient, because this is never a watch that I ever dreamed of wanting or needing. I just thought it looked like a lot of fun. I think for me, like Mars, Jupiter and Neptune are kind of the winners. What did you think? |
|James Stacey| Yeah. I, I liked, uh, I liked Mars and Neptune personally. I mean, I think, you know, it's funny, there were a couple that leaped out immediately. And then I was like, as I started to look at the others, I was like, yeah, I mean, I think Venus and earth would be the two that I wouldn't want because I mean the, um, the earth, the color, the colors are, are whack. They sort of clashed. And then, well, and then the moon one was just a little bit too close to kind of the, the real deal. Speedy. Yeah. Right. But, uh, Yeah, I don't get the dissent. Well, I shouldn't say I don't get the dissent. I get the dissent that people who are hardcore speedy folks, you know, feel a bit offended by this whole exercise. But for me, it's like it knocks it down a few notches. I mean, it kind of takes the preciousness out of watches. And I think it just has a little bit of fun with it. And I think it was a kind of a smart move from them. I'm thrilled. I'd love to have one on my wrist. I think they'd be just fun, especially since my Speedmaster, which is, you know, from 68, it's, uh, you know, I mean, it's, I don't wear it for a lot because it's, uh, it's kind of a fragile old watch that doesn't have loom and whatever. So I think it'd be a blast to have kind of a red plastic version of it on my wrist. |
|Jason Heaton|Totally. Yeah. The strap is the only part that I can't get behind. Yeah. I got to see the Mars one that cause Robert had it on his wrist. I put a picture on my Instagram. If you haven't seen it, it's cool. It's where it's like a speedy, it doesn't weigh anything. The strap sucks, but it's a $260 watch. Yeah.  Yeah. Put, put it on a $20 NATO. It's going to look rad. Put it on a, on your favorite leather strap. It'll also work just fine. I'm sure it wears just like a speedy. Yeah. Uh, just without any weight really. Yeah. But in the world of speedies, you know, I love the Alaska and I love the racing dial. They didn't really do a racing dial in this one, obviously, cause it was all linked to the worlds, the, the celestial bodies, the planets, et cetera. Right. You know, the, the, when, when I posted some photos, from down at the line, I basically got kind of two sides of the coin. One, people were just super excited that there was something to be pumped about, that like even their friends who don't know watches were writing them about. There's just a lot of enthusiasm where like, Oh my goodness, something interesting is coming out at a price point that like anyone can muster. And maybe it's not limited. |
|Unknown|Yeah. |
|Jason Heaton|And, um, and when I say anyone can muster, I mean, anyone who's into buying watches can probably find a way to get to 250 bucks. Like it's, it's a price point that I don't really have a lot of qualms about praising, you know? Right.  And then the other side was a lot of very angry people who were super upset about the fact that some of the people in line were flippers and were gonna sell the watch for more money. I said, but... They waited in line for a day and a half. They do whatever they want with the watch. I'm not saying it's good or bad, but I also think if it was all flippers, then the watches wouldn't be worth anything, right? Yeah, true. And if there were no flippers, then we would have a little bit less of an interest cycle. And I think all of this is really good for enthusiasts. I don't know if it's great for Omega, but I don't really buy this huge negativity towards this being another thing like the Tiffany Patek or some other mega hype watch that no one can get. And then it's going to be a flex to have it. I spoke with David Breton from A Blog to Watch, my old friend, and he had the Uranus, which is not one that I would have given two looks at.  before. Cause it's kind of baby blue on baby blue with white, but he had it and it's really cool in person. And I kind of, I like his opinion on it. Like if you wait in line, do whatever you want with the watch. Sure. You want it, you want to flip it and move it. And that's what like the market will only hold what it can hold. So in my mind, I see this as a, as a, an interesting touch point that we haven't had in years about the enthusiasm of a watches that's disconnected from something being $50,000 or a hundred thousand dollars. Right.  right? Sure. There are people who bought them for 250 and are trying to sell them for five grand. I don't know if they're actually selling that, uh, that part almost doesn't matter. Cause I think it's a small substrate. And I also think it's not that that decision is not based in enthusiasm and like what we do at TGN, the way that I interface with the watch world is just enthusiasm. It exists outside of brands. It's like whatever I can be excited about, I'm excited about. And when I'm getting friends who don't know anything about watches, writing me to say like, Hey, is this cool? Should I get one? And I'm like, this is, this is great. We're bringing this, like we're casting a wide net and not every fish in the net, Some of them are going to be sharks, right? Some of them are going to be half dead. It's not all great catch, but I think this is all something we need in the industry. It's for people to be really excited. And then the other perspective I didn't get until I went down to the line and spoke to a few folks. I spoke to some people who were sitting adjacent to the line, just hanging out. And I said, what are you guys doing here? And they're like, well, we thought we'd get one. I thought it'd be cool to be able to go to a birthday party I have to go to today with what in this moment would be the best gift.  And they're like, but now we're just kind of here because these people like watches and we don't, we haven't hung out with anyone who likes watches in a few years because of COVID, right? Like people were just hard up for a hangout and to be around other people who like watches. And I think the energy of that line was really cool. I, you know, I spoke to a few people towards the front and they were buying for them. They, they had a speedy on their wrists or they had a Rolex on their wrist. Like they, they weren't there to flip. I'm sure there, I'm sure there were people there that were for sure. Why not? Right.  especially like let's say you're out of work and somebody says, Oh, if you wait in line for 36 hours for a $250 item, you might be able to make a few grand. Yeah. That doesn't bother me either. Really. If someone's willing to pay it, I think this is a fascinating thing that we'll be unpacking for a long time. |
|James Stacey|Yeah. I mean, I think it's kind of one of these cultural touch points within the watch space that, um, I think brings up some interesting questions. And I, I, I sort of sit back from, I guess I wouldn't call it a neutral perspective, but just someone who doesn't take any, you know, any sides in this issue. And I just feel like if you kind of strip away the preciousness of the watch industry, which I like to do, there's nothing wrong with really what they did. You know, I I've seen people that say, Oh, this is Omega really debasing their brand image or whatever. It's like, eh, yeah, but you know, have some fun, you know, just let, let your hair down a little bit. Don't worry about so much about that thing. You know, it's like, are you offended by it? Because you paid a certain amount for your Speedmaster and this kind of degrades what you have? I mean, I don't think so. I think it's just, it's a way to include more people in, in something that's just fun and kind of celebrate watches and the whole kind of Speedmaster image. So yeah, yeah, it's been fun. It's been fun to watch. |
|Jason Heaton|Yeah. I still, I still would like to get one. My kids are super excited about them. They think they're crazy fun. Yeah. So yeah, I could see definitely buying a couple when, when, when it's like easy to get, but I don't wait in line for anything other than I guess, uh, airports and COVID shots. Like that's about it. Right.  Right. Otherwise I'm just, I'll just wait. That's okay. Um, but I did, I did get a, it was a real fun chance to see Robert John and David's, um, examples. They were super cool. I didn't, I don't think I might've seen someone with the yellow one, the yellow, yellow, not to my liking, but you can see it from 20 feet away. Yeah. Yeah. So that's moon swatch. If you have any comments, I would love to see what, what, um, What all you thought, if any, you got it. Throw it in the comments on Substack. Let's get into that convo a little lighter, or more so, if you guys have any kind of feelings that differ from Jason and I's, for sure. |
|James Stacey|What did you wear for Watches and Wonders? Did you go ahead with the Seiko? |
|Jason Heaton|Yeah, I took the Seiko and I took the Braymont, and it was perfect. Okay. |
|Unknown|Yeah. |
|Jason Heaton|So I had something that was kind of elegant, but sporty, kind of very me with the 302, and I wore it on literally an Hermes leather strap. |
|Unknown|Yeah. |
|Jason Heaton| which kind of dressed it up. It was this kind of like honey gold. So it kind of works with the coloring really well. And then I took the Dolce as well. And it was great. Everybody gets a little laugh out of it. They're like, most people go, Oh, this is, what do you mean? This is new. Yeah. It's not, it's not vintage. I think most people just assume it's, you know, 40 years old. Yeah. And they don't notice that the little tiny seconds hand ticking carefully away on the dial. But yeah, so it was great. A perfect watch. Cause you don't, like I said, it's so easy to wear on my right wrist.  Oh, sure. So I could, I didn't have to be taking it off and putting my watch in my pocket or forgetting it on a table or something like that. So it was perfect. And then I came back, uh, I'm going to do a story about all kind of how with a gold dress watch like this, you can really change the watch by changing the strap. Yeah. So the Honiki shop sent me some straps. I've got a handful of really nice straps, arguably nicer than the watch. And so I think that's going to be a fun story that I'll work on once we get through this, you know, deluge of, uh, watches and wonders coverage, we're still building out.  Yeah. Yeah. Oh, and I did get the, um, a while back, Jason, I think we talked about on the show, but you told me, you know, that, that you found this brand, um, hem dollar that made a, um, like a version of the same style mesh that's on the no time to die. Yes. Yeah. Or, or the, the steel mesh that you got from Omega. Right. And I don't remember what I paid for it, $40 or something like that, but it came in. So if you were waiting on that, I'm going to try and wear it for a week or whatever. And I'll chat about it on the next episode.  What did you end up bringing to Sri Lanka? |
|James Stacey| put way too much thought into like which watch to bring here. I mean, arguably, you know, a month away, like if you're kind of a watch nerd, like you start to miss your collection and then there's considerations about where you are and what you're going to be doing. And so I put some thought into it and, you know, given my love for the Seamaster, that was one that I wore for sure. And I wore that on the flight and I wore it for the first few days here, my white dialed Seamaster Pro.  Um, but today I'm actually wearing my, my Royal Navy automatic, uh, CWC, which, which I had on for the fateful dog bite and trip to the hospital. Um, which, which turned out to be a, just a fine choice for that. But, uh, but then I also kind of threw in, you know, I had the CWC and one of those, the clamshell vario case that you sent me actually. And, uh, um, that was in my, my carry on bag, but then I had an old Pepsi. I don't know if you remember, I think it was last year I bought a couple of really cheap, like Japan market, Pepsi, uh, Seiko 7002, uh, watches from, from the eighties. And, and I threw in the, the one of them with a kind of a Seiko flat vent strap on it. And, you know, I just thought kind of an appropriate watch for here feels right. Uh, the, the, the, the red and blue bezels like really well faded and, and just kind of felt good. So I wore that yesterday, but, but today I've got the, the CWC on, and I think it's the right trio. I think I can get through a month wearing, kind of a kind of all business M.O.D. spec diver on a NATO strap and then my my swanky Seamaster most of the time and then kind of throw on the the the tropicalized Seiko whenever I kind of feel in that mood. So I think it's I think it was a good trio to bring you know the Omega. It's dressed down a bit because it's on the rubber strap. But I mean this is a watch that you know it It's all a matter of perspective, but, but certainly here in a, in a country like this, I mean, this is like a year's salary for a lot of people. So there is a bit of thought that goes into like where and when you're going to wear something like this, not out of theft, but just out of consideration for, for where I am. And so I think, uh, yeah, almost like appropriateness or yeah, exactly. Yeah. |
|Jason Heaton|So, and there is, there is that kind of, there is that kind of thing where this is a funny thing because I'll, I'll admit how my perspective has changed over time.  When I was a little younger, you think of movies like Blood Diamond where Leo's got on a big Breitling in an otherwise very poor place or list a lot of these sorts of things. And when I was younger, I always thought that was kind of like there was a rakish charm to being the guy at the expat bar with the Rolex. |
|Unknown|Yeah. |
|Jason Heaton|Yeah. And, and now it's, it's kind of a different vibe as, as I've gotten older and you start to see the way that like you interface with the world, uh, where I think that CWC probably makes a lot of sense or even just the Omega versus a Rolex. Right. |
|James Stacey| Yeah, yeah, I agree. Yeah, that's exactly how I feel. And as the month progresses, I'll be curious to see kind of how that shakes out in terms of my taste and what seems to work. And I will admit that, you know, I mentioned at the top, like kind of the weird, you know, dissonance of looking at Watches and Wonders coverage while I'm here amidst a country going through an economic crisis and kind of that strange, for sure, Um, you know, how, how does this all fit together? Um, and, and it kind of goes along with the watches and it'll be interesting to see how it shakes out in terms of what I feel like wearing most of the time while I'm here. And I think what will happen is as the month goes on, I'll just care less, you know, I'll just wear what I've got on and just kind of go about my business. Yeah. So, yeah. |
|Jason Heaton|Well, that's the nice thing about a Seiko as well as it, I think you can make the case that a Seiko is never really inappropriate. Yeah, totally.  totally just always kind of work. There's a subtlety that works there in a kind of egalitarian quality as well. |
|James Stacey|So yeah. And, and from a, from a purely like comfort standpoint, the strap choice I put on that was wrong. I think the, it's actually an uncle Seiko knockoff of the original. No, it's the, it's the flat vent. It's based on like the GL late 31 or something, you know, that, that one that you see on so many old Seikos and It's just a little stiff and it kind of chafes a little bit in the heat here. And I didn't bring any 22 millimeter NATOs. I could put it on a 20, but that always kind of bugs me. So what do we say first world problems, but you know, I'm not sure if I'll switch it to like a 20 millimeter NATO just for, for comfort sake. Cause I'd like to wear that watch more while I'm here. |
|Jason Heaton|Yeah, for sure. Well, Hey, that's an exciting intro. I think this is going to be a nice long show. You want to get into watches and wonders? |
|James Stacey|Yeah. I mean, I almost feel like it's more like me asking you about your impressions about stuff that I was able to see from a distance because There's some really exciting stuff that came up during the show and you actually got to handle most, if not all of it. So I want to get your take on some of the real, you know, hot commodities that showed up and some of the kind of lesser known kind of ones that maybe flew under the radar a little bit. So, I don't know, where do you want to start? You want to start at the top of the list here? Yeah. I mean, you know, we've got Rolex at the top of the list. That seems to be a good place to start. You know, the lefty GMT seems to be the one that was the real big buzz of the show. What did you think? |
|Jason Heaton|I mean, personally, I don't really get it, but I'm also not a modern GMT guy. If I was gonna spend that kind of money, I want the Pepsi and I'd want it on a Jubilee. Oh yeah. It's so oddball that it almost doesn't seem that Rolex-y. Yeah. Yeah. And it's not that they intend it for left-handed people, it's that they intend it for people who prefer to wear the watch on their other wrist. Yeah. Right. Just for some comfort. Yeah.  Um, or, or, and they said, obviously left-handers would be in that group if they wanted to be. Um, but which, which risk you wear your watch on is entirely up to, it's a very personal decision, of course. And sometimes people even change it depending on the watch. It's a good looking watch. I like the black and green. I get it. I like it more than the previous black, all black bezel with the green, just the green hand. I like, I like the, the twin color, but the date at nine, I think is very strange. There's nothing wrong with the watch is the easy thing, but it's not like it's a watch where I think, um, if I hadn't seen it in person, and I'm probably going to say this a lot, but if I hadn't seen these in person, if this has just been something that had come through as a PDF and a webpage, I don't know that I would think about this watch very much. |
|James Stacey|Yeah. I wasn't I wasn't aesthetically offended so much by the left-hand crown as I was by the positioning of the date. I, it really bothered me. I really want the date at three. I mean, it's just put the crown. It's oddly unsettling, isn't it? Put the crown at nine, you know, that's, that's fine. Like, like the Tudor, LHD, whatever, but like keep. Which is, which is one you really enjoy. Yeah, but keep the date at three. I just, I just don't get the movement of the date. And, and if the argument is that you're wearing it on your right wrist and therefore you want the date, date to kind of poke out from, under a sleeve, so it's easier to find. I mean, I don't know. I mean, I'm left-handed. I wear a watch on my right wrist, and I actually prefer the crown on the right side because it's more comfortable. It makes perfect sense, right? Yeah, it does. Yeah. So anyway, we don't need to dwell on that one. I mean, I think it was just, it was an interesting piece. |
|Jason Heaton|I think it's a pretty easy to understand watch. It's the same movement. It's the same bracelet. You can get it on a Jubilee or an Oyster. And I think it's a known quantity. I also think like, I don't, I'm at a point where I have some Rolex fatigue because I know that even the folks in the audience that are listening to us right now and are really jazzed about this watch, they're not gonna be able to get one. And it's a bummer. After several years, it's just starting to be a bummer. And that goes for the Air King, right? Which is the other big new release. I'm on record from the previous Air King. This watch does nothing for me. No, I don't care for it. At all. I don't like the aesthetic. I don't like the color way. I think that it makes sense to bring it into the professional line. Absolutely. So now it has a little bit more of a squared off case.  I like the sterile bezel crown guards or not. I'm not that much of a Rolex guy to care. |
|Unknown|Yeah. |
|Jason Heaton|Um, but if it's a, if it's a pro, it makes sense. I wish they had done an entire dial redesign. Yeah, me too. Um, and, and, and maybe brought it back to, uh, you know, Cole had this idea when we did these kind of dream Rolexes. I did a bunch of Photoshop's just before the show started. And he was saying like, what if you, you kind of brought the Air King back into a, um, the OP. So it'd be more like a gray subtle,|
|Unknown| Oh yeah. |
|Jason Heaton|OP in 36 or 40 or whatever. And then it would just have that cool Air King signature on the dial, kind of like the original ones. Right, right. And then I think the other thing I heard is a lot of people were kind of surprised we didn't get a Milgauss. Yeah. A new Milgauss. And I would say that Rolex isn't going to play every card at this show, especially when they weren't sure what the show would be probably. There's probably some risk involved. Right. So maybe that's a later in the year release. I think it would make sense to see another one at some point.  Um, other than that, I mean, uh, slight tweaks to the deep sea, um, a new, uh, you know, solid gold, um, and, and a different version dial, a Falcon eyes dial for the, uh, yacht master, not really within our vibe. And then perhaps even less in our vibe, they now do a full 36 and 40 millimeter platinum date, just, or sorry, day date.  with an ice blue dial and they figured out how to do the fluted bezel in platinum. Oh, sure. And I know all of the, all of that sounds kind of eye rolly at 80 grand or whatever they cost, but in person that bezel is something else. Huh? Huh. They're, they're not joking that it probably took some work to get there. Oh yeah. I'm not saying I necessarily want one of these, uh, the idea of like a, the sort of full, full platinum day date is maybe a little bit too much for me. Uh, but it is an impressive thing technically for sure. Yeah.  Jason, the other thing you would laugh about that I should cover before we get too deep into it is if you saw this, it'd be so, it's so, um, there's some weird, like, like, like the left-hand date or the nine o'clock date on that lefty GMT. There's, it's very weird to see a slice of Baselworld quite literally grafted into SIHH. |
|James Stacey|Yeah. I was wondering about that. I didn't see a lot of like overall photos or video tours of the hall because I'm familiar with the, the Pell Expo from SIHH years, but then. So it's the same. |
|Jason Heaton|That's all the same.  Okay. Uh, almost identical, right? The same tables, you know, the same sort of expectations of the food and there's coffee everywhere. And it's kind of like a big fancy mall and you walk into a sort of like a, a big doorway into the kind of brands world. Right. And then you're walking down this one hallway and you can still see the SIHH of it all. But at the end you can see the Rolex booth, the Patek booth, the Chopard booth and the Tudor booth. And they're all the exact same booths from Baselworld.  And then you walk into this little mini version of Baselworld's main hall, hall one, there's no escalators and there's none of those weird trees with the zigzag places to sit down. But it's like, there's the same information booth. Sure. Like I swear, if I set it up carefully, I could take the same picture of Patek's booth that I could have taken at hall one a few years ago. So that was a weird thing to see. Like people were just saying like, I'll be over in Baselworld. I'm going back to SIHH, right? Yeah.  Yeah. Um, but I think they did the best they could. And obviously those brands spend millions and millions and millions of dollars to make those booths. And until it's time for a refresh, you're going to use them. Sure. It's a huge investment. Right. And my guess is if you're Rolex, you're tutor, you're protected. Also, there's a bit of a flex to just saying like, I'm going to do this my way. Yeah. You're lucky enough to have me. Right. Yeah. The show. Yeah.  And, uh, but other than that, I mean, it was all largely similar. It's impossible to find a bathroom. Um, there's no garbage cans anywhere. Talk to the guy who was chewing gum for a lot of the day and had nowhere to put it. So that that's pretty much Rolex. I, you know, I wasn't floored by anything. There's nothing here where I go like, Oh, now, now there's a modern Rolex. I really want, I assume, Jason, you feel largely the same. I do. I do. Yeah. |
|James Stacey|Yeah. I've never tutor on the other. Tutor is a good place to go next because I think, you know, they obviously, came loaded for bear. I mean, the, the big one, there's some stuff, the big one. I mean, okay, let's, let's not talk about the, the one that's going to appeal to us the most first. Let's, let's quickly just go over the, the root beer, the GMTs, the black Bay GMTs. How did you like those in person? I thought they looked great in the photos. |
|Jason Heaton|Yeah, they do look great. I mean, the honest truth is, is I don't like Brown and I don't like two tone. So they're kind of like for my, if we're going just on my personal taste, It'd be Pepsi all day long and twice on Sunday, whatever that saying is like, I just, um, I don't, um, I don't like, I don't like the root beer from vintage Rolex. I don't like the root beer from modern Rolex. I don't like two-tone and, um, and, and I can put all of that aside. Very nice execution, especially on the bracelet. I think these will be super popular. Um, I think they make a lot of sense because it's a, that's a lot of variety from the, if they just on a black dial, I think you'd go like, well, Why even do I make this there's such a big release, but this is a big enough difference from the Pepsi, right? To bring people in that were maybe waiting or didn't want a blue-red execution for a GMT Yeah, I think it makes a lot of sense a super smart release not one for me, but very very smart. |
