
# The Grey NATO - Ep 51 - Live From Geneva It's SIHH
Published on Tue, 23 Jan 2018 09:59:29 -0500



## Synopsis
The podcast discusses the notable watches and events from the 2019 SIHH (Salon International de la Haute Horlogerie) watch show in Geneva. The hosts talk about their favorites from brands like Baume & Mercier, Montblanc, Panerai, Cartier, Jaeger-LeCoultre, and others, highlighting aspects like design, pricing, and innovation. They also share behind-the-scenes experiences from attending the event and meeting brand representatives and personalities.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-51-live-from-geneva)
- [episode MP3](https://www.buzzsprout.com/2049759/11311070-the-grey-nato-ep-51-live-from-geneva-it-s-sihh.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|Jason Heaton|It was beautiful. You know, it's funny because Boma Mercier, their kind of big showpiece this year was the Indian Motorcycle Partnership, and they had a streamlined, sort of foiled out Indian motorcycle right in the center of their booth. They brought in Burt Monroe's grandson and grandnephew or son and grandnephew from New Zealand and they were here. He's the guy that Anthony Hopkins played in the world's fastest Indian movie a few years back. Oh sure, okay. The Kiwi who set a land speed record in the late 60s on a very old Indian motorcycle. So they had a tribute piece to Burt Monroe and then they had these Clifton Club chronograph Indian pieces, which to me, I just, I kind of wanted to set those aside and I just wanted to, to, to look at the, uh, at the Bowmatic. It was a beautiful watch. It's, it's really fun on the wrist. I mean, I don't see myself spending that kind of money, but you know, for, for a guy who's looking for, you know, maybe he's going to the office regularly and he needs kind of a nice watch. It's a legit piece. It's not, it's not just kind of a throwaway, you know, um, dress watch. It's not just, it's something you just buy and don't appreciate for what it is as a watch. And this one is, it felt really good. Another thing that Balma Mercier came out with was the, and I can't say it was entirely to my taste, but I don't know if you noticed, and it was a bit underplayed, I guess they didn't highlight it much, was the Clifton Club, they have a quartz collection now. I didn't see that at all. So, you know, the Clifton Club, last year launched, it's that kind of sort of dive watch looking, you know, with the rotating bezel, um, kind of the fun straps and that sort of thing. And this year they released a quartz line, um, on bracelet and on strap and, uh, predictably it's, it's lower priced. Um, but they got rid of the rotating bezel. So it's actually a, a fixed steel bezel with, you know, most of the same kind of dial elements and, and that sort of thing. And I believe I could be wrong. I didn't notice, uh, At the top of my head here, but I think it's in the like the $1,100 range for the quartz, which, you know, it's kind of in line for, for Boma Mercy. It might be a little expensive for, for what people want to pay for a quartz watch, but it's, it's handsome. It's nice looking. But the Bomatic was the one to look at, at that booth, I thought. |
|Unknown|Yeah. I thought the, you know, the photos that Hodinkee put up and that I saw on Instagram and such of the Bomatic, I thought the dial looked really good and nice kind of like rich white. Yeah. Yeah. It had kind of a glassy look to it. I thought the markers were kind of pretty.  It kind of reminded me of the same sort of aesthetic as the Rolex Cellini. Yes. Yeah. Um, where it's dressy, but not like flashy in any way. It's just kind of like, it's one unit of watch that looks very confident, but it still has some subtlety. And, and I thought, you know, when I first thought, I felt like, Oh, what's the price going to be? You know, last, uh, last year, the year before they had the Shelby titanium chronograph, which was kind of, it was like seven grand or six grand. |
|Unknown|Yeah. |
|Unknown| And and then to see this come in at a much more like reasonable price point. Right. As far as, you know, just kind of a value statement for the brand. I thought it was cool. Yeah. And then we can jump right over to the to the 56, which I thought was kind of an interesting line. And I guess you saw all three variants, like there's three movements in the lineup. Yeah. And, you know, I think the complete calendar looks. |
|Jason Heaton|Yeah, that's the one to have. I mean, I think the complete calendar is really cool. And then the What was the other one they had? Shoot. |
|Unknown|There's a complete calendar, a day date and the automatic. |
|Jason Heaton|Right. Right. Yeah. The automatic, I mean, just, I think everybody sort of, you know, like, like I said, it was the controversial piece, but it was also, it's also the most accessible. So it's kind of the biggest talking point, but the, uh, the complete calendar is, uh, it was kind of the pretty one. I thought, I thought it was the kind of the fun one. And, and, and they had sort of completely retooled their booth this year to kind of play off this.  mid-fifties themes. They have a lot of jazz albums and kind of low slung mid-century couches and a big bar. Um, that's cool. They're kind of playing that up. I think it's, it's a real big push for them again, trying to reach a new audience. You know, I mean, I, I think we could talk more about Vacheron, but I think, you know, the, if we want to kind of stay in our, our wheelhouse, I mean, I think a good place to move now is to talk about, uh, uh, Mont Blanc, which I think was another highlight. |
|Unknown|Cool. |
|Jason Heaton|Yeah. A little sort of backstory on, on Mont Blanc and kind of where they're headed and what they're all about these days. They, They brought over Davide Serrato, who was the creative director at Tudor and kind of the man behind the, you know, the uber popular Black Bay series and a lot of their great watches. And you can start to see his impact now on Montblanc, especially this year, I think. He kind of creates an ecosystem around a theme with their watches. And this year was all about, they were really pushing the sort of spirit of adventure vibe.  you know, massive video screen going with sort of a drone shots of, uh, you know, mountain peaks or, or helicopter, you know, views of mountain peaks and the Rockies. And, and it was all about, um, sort of vintage or, or historical mountaineering. So they had old ice axes and leather boots around the booth and books about mountaineering. And you could just tell they were really hitting this theme really hard. And, um, they brought in kind of a new, a new look for their 1858 collection, which is kind of, probably my favorite line of their watches. You know, they've, the time Walker's never quite done it for me. Um, and then they've got the star collection, which is kind of more of a dress watch series. But, um, the, the kind of the real talking piece for the show was the 1858 geosphere, um, which was a watch that they're sort of spinning is sort of the outdoor adventure watch. And, you know, it comes on a really cool sort of age looking light tan, bund style strap. So it's got the pad behind the watch case. Um, it's got a rotating compass bezel. Um, but of course the, the, the real, uh, centerpiece of the, of the watch is this dual, uh, sort of time zone display on the dial that shows the earth from both the above the North pole and above the South pole. And then those rotate in opposite directions to indicate which sort of sections of the earth are in daylight or at night at a glance. And then there's a second time zone as well, uh, as well as a date. So, um, you know, just a, a lot going on sort of, it really packs a punch movement wise. It's, it's, you know, their in-house thing that we saw, I don't know when it was a couple of years ago, they had that watch that had kind of a similar function on it, but it was way more expensive. Um, that kind of hemispheres, uh, display. Oh, right. Sure, sure. And, um, It just kind of, it hits the right notes and it's not a huge watch. I mean, 42 millimeters, uh, it's, it's under 6,000 bucks. Um, and you know, it's nice looking. They have a limited version that comes in bronze, which also looked nice. But, but to me, just the steel watch, um, you know, Montblanc, I think has kind of tried to carve out their space in the Richemont kind of watch universe and, and, um, You know, I've often felt in the past, like they're kind of been a little heavy handed and kind of like trying to, you know, force something. And I think in this case, I don't know, it seemed to fit sort of fit their, their pricing, their kind of space within the Richemont group and, and the watches were really nice looking. |
|Unknown|So do you care for that? Yeah, this one's, you know, it's one that I would have to see in person. Cause I'm, you know, I'm not usually crazy, but like the faux tanned loom. |
|Unknown|Yeah. |
|Unknown| that they've used on it, but then it carries over into the two hemispheres. So I think like, I think it looks pretty cool. And I think the sizing is pretty neat. I don't think, you know, the bezel, the compass bezel doesn't, there's not a lot of feature set there for day-to-day use. Yeah. Yeah. But I do rather like the way it looks, which I don't think I've said about a lot of their lineup before. There's stuff that they've made that's quite striking. |
|Unknown|Yeah. |
|Unknown|Or, you know, very sporty or very aggressive or, you know, very classic. |
|Unknown|Right. |
|Unknown| Um, what I was, what I would say is that they nailed the pricing. |
|Jason Heaton|Yeah, totally. |
|Unknown|Cause it's a watch with kind of like a weird complication. You get a second time zone, you get these dual hemisphere world time display things. And aesthetically it doesn't look like any other watch. Right. And it's only, it's not even 13 millimeters thick. It's 42 millimeters wide. You could definitely wear this. Yeah.  And, you know, they've got pictures of it on kind of like a woven fabric strap on this kind of bun style NATO or a bun style leather. And, you know, like you said, it's, it's six grand. So, I mean, you're looking at the, you know, less than the price of an Explorer and a watch with, you could say multiple complications or two different, two different displays type complications. And I really liked that the, the second time zone, you almost think it's, it's the seconds display. Right.  But then you realize that it's a 12 hour display and it's just giving you another hour hand, which is quite clever. Yeah. And then you have, yeah, essentially two more, uh, not easily used as a world time display, but these hemisphere displays, which I guess is more of a novelty or romantic sort of complication. |
|Jason Heaton|Yeah. Not exactly useful. |
|Unknown|I mean, yeah, I'm not really sure how you would use it. I do think it looks really good. |
|Jason Heaton|I mean, do you really need to know who's in daylight and who's at night at a glance? I mean, And it's so small that you'd have to be able to figure out what the shapes of the continents are. It's kind of tough to do at a glance. |
|Unknown|For sure. |
|Jason Heaton|But yeah, like you said, it's different looking. It's different than anything else out there. And it seemed to really resonate. People just seemed to really like it. The one that I liked was the chronograph in the same series. That was a beautiful watch. Sort of the bi-compax layout, big registers, 42 millimeters. It has those classic sort of pump pushers, the mushroom-shaped pushers.  That was the one that I would probably, you know, personally go for if I were to make a purchase of one of these watches. |
|Unknown|Yeah, no, it's also a very handsome looking watch. And again, you have the cathedral hands and a very kind of nice looking traditional sort of design and looks like the right size and 4,200 bucks for the price. I mean, they're coming in under a lot of their Richemont siblings. |
|Jason Heaton|I couldn't help but think, you know, you mentioned the price, I couldn't help but immediately compare it to that Longines Big Eye that you reviewed not long ago that came in at what sub 3,000 I thought 2650 it's gonna be a sting for a lot of brands. |
|Unknown|Yeah, because I'll be honest I would lean towards the Longines. I would too. I would too. Over the Montblanc. Yeah, you know I like I like Longines. I like that Longines went very minimal with the dial text and things like that. Yeah.  And, uh, and then of course, you know, I think, I think that they've had the time to show that that all 688, the column wheel expression of the 7750 is reliable and can be serviced easily by, you know, anyone who services the swatch stuff. |
|Jason Heaton|Right. Kind of another sort of, I guess, a cool thing about the Mont Blanc theme this year was I went to one of their dinners. Uh, I guess it was Monday night, um, which they had originally said was black tie. So I, you know, stressed and scrambled to accommodate that request and I was the only guy in a tux at the whole show. Oh really? I literally was. So I was either, you know, people were saying, Oh, you look great. You look like James Bond or you look like the head waiter, you know? |
|Unknown|Well, everybody else was underdressed. I mean, that's fair. That's pretty rude of everyone else. |
|Jason Heaton|Well, no, because then what happened was when I got here, there was an invitation to my hotel room that had a different dress code on it. So, you know, it was, I mean, it was no big deal, but, uh, But no, with regard to that dinner, I was seated next to our old friend, Kenton Kuhl, the mountaineer that, that we met, uh, at the, uh, the Bremont townhouse last, uh, last March. For sure. He was a Bremont ambassador. Now he's, he's over with, uh, with Mont Blanc and, and he was literally like just off a plane from Nepal where he's helping to train, uh, a well-known British TV presenter, Ben Fogel, um, to climb Everest later this year. |
|Unknown|Oh wow. |
|Jason Heaton|So, um, He was just back. You could tell he was a little frazzled. He was supposed to give a speech and he was kind of stressed out about that. But he was wearing that Geosphere with a nice suit. It didn't look properly appropriate, I guess, with the suit. But he pulled it off. And we had a nice chat about mountaineering and his experience. And we talked about guiding in the Alps and just all sorts of stuff. He was just kind of a really cool, kind of laid back guy. Good guy to be seated next to at kind of a she-she dinner. |
|Unknown| Yeah, we'll have to see if we could get him on at some point. Yeah. Cross pass at another MB event or something, have him chat for a few minutes. It'd be fun. I think, you know, anyone who's listening, who's, you know, you're sitting there on your phone or whatever, killing time listening to the show, go and follow Kenton on Instagram. I believe it's at Kenton Cool. And we'll put it in the show notes either way. But he posts stories when he's on these kind of trips. Yeah.  And a lot of it's these, you know, amazing viewpoints. They'll do some lower climb to acclimatize and the views are crazy. And he's always looking like he's having just the best time. He seems like a very, uh, positive sort of guy. Yeah. Yeah, definitely. Which I like. Yeah. Well, that's rad. |
|Jason Heaton|How about, uh, how about Panerai? Yeah. |
|Unknown|So two big kind of announcements from them. |
|Jason Heaton|Yeah. So, yeah, they had, um, kind of the, the two big ones for them were the, the Luminor base logo, which brings back, what was kind of one of their big releases back in the 90s, kind of one of their first when they first came back on the scene as a legitimate, you know, sort of popular commercial brand. And then they had the Dewey 38mm, which is kind of the smallest Panerai that you can get these days. The base logo was, you know, in the old days, the base logo was the watch that didn't have the sandwich dial. It has a painted dial. And then, of course, they use that sort of that P logo at the bottom of the dial.  And originally they used to use those Unitas hand-wound ETA movements with a display case back, and now it's a solid case back and they're using the in-house P6000 3-day movement, which is an automatic, not a hand-wound movement like it used to be. White dial, black dial, sharp watches.  I guess the exciting part about it is that the price is good. They're about $4,500 and they're using that in-house movement. But the aesthetics, they look just like the old ones. So, you know, I can't say it's anything groundbreaking here. |
|Unknown|And do you know the power reserve on the P6000? |
|Jason Heaton|I think that's a three-day movement. |
|Unknown|So I think it's... So, I mean, at $4,500 for a three-day movement is excellent. We saw them go to smaller case styles two years ago with the white the white Luminor with some of the blue accents. And I want to say, and I'm fairly certain I'm right with this. It was 11 grand. |
|Unknown|Yeah. |
|Unknown|Yeah. So, I mean, if they're going to begin to approach the types of price points that you and I remember from when Panerai kind of turned the corner from being nothing except these things that guys who were really into these old Italian dive watches collected to suddenly being like the hot watch that changed the size of watches for a decade. Yeah. Yeah. Then I'm all for it. I don't think I would, uh, I wouldn't scramble to go to wear a 44 millimeter Panerai. You know, I had a really good time with the, uh, the small, uh, submersible. And I think that's probably where I would lean for a Panerai. I also still have a real soft spot for the Radiomir. Yeah. Which I think wears its case size a little bit better for someone with a smaller wrist like myself. Right.  So you can get away with a larger Radimir in my situation, but $4,500-ish for an in-house Panerai, I mean, you're starting to approach the in-house prices of like a Nomos with a date. Oh, totally. And if they really want to say like, Hey, you know what, if we're going to make a base Panerai, we're going to make it so that someone could aspire to own it. Yeah. Not have to be in a situation where they're saying like, well, costs more than my last car or something like that. Right. Yeah. And at, at something, you know, at half the price, half the retail price of a Submariner. Yeah. Uh, I think they have a compelling product on their hand. Like I said, it wouldn't be for my wrist. I have 44 millimeters and especially they're all dial. Right. They just don't wear that well for me, but obviously as true as that statement is, there's also the side where people love 44 millimeter Panerai. |
|Unknown|Yeah. Yeah. |
|Unknown| have for quite a while and I don't think that's necessarily going to change. |
|Jason Heaton|Yeah. Yeah. That's a compelling watch. |
|Unknown|For sure. And the stranger thing would be the 38 millimeter duo or dueway. Yeah. |
|Unknown|Yeah. |
|Unknown|So what is that like in person? Is the ratio of the strap okay? It's beautiful. There's a white and a black dial. I kind of oddly for me, I gravitated towards the black one. |
|Jason Heaton|Yeah. Well, so they had this, uh, I don't know if this is the one you're talking about, but it's sort of this, um, radial finished, uh, It's sort of a dark gray. Is that the one you're thinking of? |
|Unknown|Yeah, I only saw two models one that was kind of a cream Yeah, creamy white and one that was it looked, you know, roughly black in most photos But I could tell it had some finishing on it. It wasn't your matte Dial like on the base. Yeah. Yeah, I know hodinke published a nice piece on on the Luminor Due the new 38 millimeter steel Luminor So that's the smallest a Luminor has ever been and then you're also looking at a $6,000 price point. Yeah which again, $6,000 in-house and small, Panerai is looking to establish a wider base than the people they've been building watches for for the last few years. |
|Jason Heaton|Yeah. I mean, you know, the funny thing is, is that my wife really likes the Panerai aesthetic, but she's just, it's crazy to think of, you know, a woman with a small wrist pulling off anything that they've made. |
|Unknown|For sure. |
|Jason Heaton| And so as soon as I saw the 38mm I had to snap a photo and send it to her and she was smitten with it just right off the photo. I think it's unusual to see that kind of Luminor aesthetic with the big sort of crown protector in such a small watch. And it does look a little bit strange, a little bit shrunken. Wow, it's noisy here. But yeah, it really is a neat piece and that striking sort of radially finished black or dark kind of smoke gray dial, really beautiful watch. So I think it'll do well because I think a lot of women like the Panerai aesthetic. And you see women, especially the ones that work for the brand, you see them wearing the watches and I always feel bad for them because I feel like they're probably supposed to wear their watches and they just don't quite fit. And at 38 millimeters, it's doable. I think even I think it'll do well in the Asian market. I think guys with smaller wrists, um, it could work just fine. Um, you know, they, they showed it on some kind of, uh, I guess more feminine colored leather straps. And I think if you just swapped that out for kind of a cool rustic, uh, leather strap, I mean, geez, I'd wear a 38 millimeter, you know, panoramic. I wouldn't, I'm not going to go out and buy one, but, uh, I I'd love to try it just, just for kicks, you know? |
|Unknown|Yeah, no, I would be definitely game to, to get one in for a little bit and review it.  Just on the level of it's strange, right? Yeah, exactly. Not unlike taking a 47mm submersible and making it 42mm. Right, yeah. And now you have what's commonly a 44 or 47mm style and it's 38. I mean, it's funny because you see them, you go to Panerai's website and they kind of show you all the watches in a grid.  Yeah. And so the ratio, like the proportions from one watch to another don't really change in the grid. So it's kind of hard to tell. It's really only the kind of size of the text on the dial, of which there isn't that much. It's just Luminor, Panerai and Automatic. And then the ratio of the strap width to the lugs. Yeah. You can tell that they've kind of massaged that to fit the overall sort of proportions of the watch. I think they did a nice job, at least from the photos I've seen.  But it's weird, and I have to think that this is the kind of watch that will bother a lot of, like, Paneristies. |
|Jason Heaton|Yeah, probably. Yeah. Yeah. And you know what's troublesome about it? The only thing that I... You know, I think you and I are pretty broad-minded. We're not exactly the purists that are going to quibble over... Certainly not when it comes to Panerai. ...a Vacheron or a Panerai or whatever. But, you know, to me, the one sticking point for this one, for me, was the water resistance is quite low.  It's 30 meter water resistant on this one, on the Dewey 38 millimeter. |
|Unknown|This isn't enough for the history of that watch. |
|Jason Heaton|Exactly. And with that kind of rugged crown protector device that was kind of meant to hold the crown tight for water resistance, it just feels wrong. It feels really wrong. And I think the explanation I heard about that was that this watch is quite thin. I don't remember the exact proportion, but by making it thinner, they couldn't have that beefy hundred meter, 200 meter water resistance that you get on the bigger ones. So. |
|Unknown|Well, I mean, that, that might be true. I, I don't, you know, that, that's all, that's all beyond a 30. It just feels like if you're going to make a Panerai Luminor. Yeah. It's such a, uh, it's such an endeavor in looking at, at the past of that company to continue that aesthetic and then to just kind of say like, well, you know, we essentially developed one of the earliest submersible watches, dive watches.  Right. And now we're, we're just going to replicate that in aesthetic alone. Right. None of the technical attributes at 30 meters. I mean, the, again, to bring up that Longines big guy doesn't even have a screw down crown. It's 30 meters. |
|Jason Heaton|Yeah. Yeah. Yeah. I think somebody pointed out that there's like a, like a, like a Piaget, um, I think that super flat one that they showed off this year or something, or one of the skinny Piaget's is like 30 meters as well. And they thought, you know, why not? You know, I don't know to me if it's such a clearly, such a clearly aimed, I don't want to say fashion watch, but it's, it's clearly aimed at, you know, just, you know, bringing in new buyers and, um, and not, not appealing to the kind of the history of the brand. |
|Unknown|Like you said, you've got to assume.  And this may be an unfair assumption and I'm willing to take that on the chin if it is, but you have to assume that people from all these brands have to go to the same general meetings with Richemont and they see brands like JLC and Baum and Cartier show numbers for men and women. Right. These are, you know, and they have like two, two bars on their graph and then Panerai loads up and they've got one giant bar for men and maybe a sliver.  Yeah. For women. And you got to think like, Hey, can you guys develop something that could, that could offer the charm, the appeal, but for smaller risks and whether that's women or that's an Asian market, that's all doesn't really matter. But you have to assume that they would rather sell to more people. Yeah. And you're not necessarily just going to create more Panerai fans at this point. Right. Especially with, I mean, these two watches that we're talking about aside, a lot of their watches are quite expensive.  And last year they showed a couple of very technologically advanced watches, the BMG and like that. And so you have to assume if they're going to offer entry level products that are also smaller, they're just looking to widen the people who might stop and look at them in a store. |
|Unknown|Yeah. |
|Jason Heaton|Yeah. We have to step back from, you know, I was having dinner with somebody last night and we were kind of debating these topics about brands, you know, making compromises and things. And I'm like, you know, this is, these, these guys are in business, they have shareholders, they have money to make to, it's a tough business. And, and I think if you bring in extra people, you, you have to look past the, the kind of purists and the, and the old guard and, and think about, um, somebody like, like, uh, Gashani, my wife who, who likes, uh, the, the Luminor aesthetic, but has never been able to wear one. And Hey, here, now someone, now she can, and you know, she probably can't dive with it, but you know, which is a shame, but, uh, you know, it's, uh, It is what it is. |
|Unknown|I think that's a great way of looking at it. I think the other way to look at it is if a brand, and this honestly could go for cars or watches or all sorts of things, like I really love my MacBook Pro. Yeah. I don't want to use an iPhone. I don't really want anything else from Apple, but I wish them nothing but success so that they'll keep making the top tier MacBook Pro. Oh, sure. Yeah.  you know, if Panerai needs to make 70 watches to make one or two that I really love, awesome. That's fine. It doesn't bother me at all. And if, like, if you can find one watch at every brand that you really like, then how do you get offended when they go in a different direction or they expand their lineup? Like, I understand that there's probably guys who have been with Panerai for 20 years and they just don't understand the brand they see now.  Right. But also if they hadn't made these changes, there'd be no Panerai. Exactly. Yeah. You know, they were down to the, or so the, you know, the classic Sly, Sylvester Stallone rumor that, you know, goes down, they were down to almost no stock when he rolled into their store in Florence and liked the watches. And if that's true, then you can have, you know, it's a cake and eat it too scenario, right? Yeah, exactly. You can have a brand that's this pure expression of what it was before quartz. Right. To kind of change the whole world.  for watches, or you can have a brand that managed to persist and had to, you know, this is, you know, BMW makes all sorts of things that are partway between a car and a wagon. And I don't like any of them, but if they need to sell a ton of X6s or X4s or whichever one to keep making the M3 or the M2, then awesome. Let's keep, yeah, keep making them. It's great. |
|Unknown|Yeah. |
